REF_AREA,TIME_PERIOD,OBS_VALUE,REF_AREA_LABEL
URY,1999,11.618,Uruguay
CEB,2000,20.056314329372988,Central Europe and the Baltics
CEB,2017,12.483328548269585,Central Europe and the Baltics
EMU,2017,17.746964684080467,Euro area
ECS,2017,13.69524947325433,Europe & Central Asia
ZMB,2017,3.142,Zambia
CEB,2018,10.54838483170248,Central Europe and the Baltics
EAR,2018,8.584311142071625,Early-demographic dividend
EMU,2018,16.17347158066111,Euro area
VEN,2009,5.959,"Venezuela, RB"
PSE,2009,22.13,West Bank and Gaza
CEB,2010,21.56466816413297,Central Europe and the Baltics
EAR,2010,6.567732462086916,Early-demographic dividend
ZMB,2018,3.993,Zambia
AFW,2019,3.178531990071717,Western & Central Africa
CSS,2019,12.50290103654596,Caribbean small states
CEB,2019,9.935205816400824,Central Europe and the Baltics
EAR,2019,8.768388656388819,Early-demographic dividend
EMU,2019,15.06327178564134,Euro area
PSE,2011,17.486,West Bank and Gaza
ZWE,2011,5.271,Zimbabwe
CEB,2012,22.47017938021434,Central Europe and the Baltics
EAR,2012,4.571160143163783,Early-demographic dividend
YEM,2014,12.753,"Yemen, Rep."
ZWE,2014,4.384,Zimbabwe
CEB,2015,16.628869193006746,Central Europe and the Baltics
EMU,2015,20.742173598978376,Euro area
CEB,2013,22.241804765546014,Central Europe and the Baltics
EMU,2013,23.141657304231728,Euro area
ECS,2013,18.84144996183966,Europe & Central Asia
PSE,2002,33.056,West Bank and Gaza
CEB,2003,24.183310739193285,Central Europe and the Baltics
VUT,2010,2.046,Vanuatu
VEN,2010,6.811,"Venezuela, RB"
VNM,2010,0.814,Vietnam
PSE,2010,22.935,West Bank and Gaza
YEM,2010,20.66,"Yemen, Rep."
CEB,2011,21.63357806462949,Central Europe and the Baltics
PSE,2001,25.504,West Bank and Gaza
CEB,2002,23.871243588021063,Central Europe and the Baltics
PSE,2020,24.317,West Bank and Gaza
ZMB,2020,4.627,Zambia
CEB,2021,13.254620953484912,Central Europe and the Baltics
EAR,2021,9.296263011240365,Early-demographic dividend
EMU,2021,15.137762694233604,Euro area
URY,2003,19.27,Uruguay
PSE,2003,26.134,West Bank and Gaza
CEB,2004,24.38343079036945,Central Europe and the Baltics
VEN,2008,6.127,"Venezuela, RB"
PSE,2008,25.017,West Bank and Gaza
CEB,2009,19.001452328118678,Central Europe and the Baltics
PSE,2005,21.342,West Bank and Gaza
CEB,2006,20.66820098402041,Central Europe and the Baltics
ALB,2011,12.307,Albania
AGO,2011,14.498,Angola
ARG,2011,8.347,Argentina
ARM,2011,16.163,Armenia
ALB,2010,12.739,Albania
ARG,2010,8.966,Argentina
ARM,2010,14.271,Armenia
ZMB,2021,4.293,Zambia
ZWE,2021,8.016,Zimbabwe
AFW,2022,2.793538952537643,Western & Central Africa
CEB,2022,13.063918834689169,Central Europe and the Baltics
EAR,2022,9.071775891641956,Early-demographic dividend
EMU,2022,13.573017671428858,Euro area
ECS,2022,11.743190882776272,Europe & Central Asia
URY,2007,9.986,Uruguay
VEN,2007,7.215,"Venezuela, RB"
PSE,2007,19.991,West Bank and Gaza
USA,2013,10.81,United States
URY,2013,7.579,Uruguay
VNM,2013,0.809,Vietnam
PSE,2013,19.423,West Bank and Gaza
URY,2022,9.672,Uruguay
VNM,2022,1.137,Vietnam
PSE,2022,21.603,West Bank and Gaza
ZMB,2022,4.467,Zambia
ZWE,2022,8.878,Zimbabwe
CEB,2023,13.17564190208892,Central Europe and the Baltics
EAR,2023,8.853449717030934,Early-demographic dividend
ECA,2013,12.8406616626323,Europe & Central Asia (excluding high income)
TEC,2013,14.394012690224455,Europe & Central Asia (IDA & IBRD)
EUU,2013,22.47255296812517,European Union
HIC,2013,16.83490237642456,High income
LCN,2013,6.41688169463378,Latin America & Caribbean
ALB,2008,11.371,Albania
ARG,2008,9.374,Argentina
ARM,2008,31.146,Armenia
USA,2000,8.666,United States
URY,2000,14.083,Uruguay
PSE,2000,11.622,West Bank and Gaza
CHL,2014,6.76,Chile
COL,2014,6.9,Colombia
COM,2014,9.305,Comoros
CRI,2014,9.563,Costa Rica
HRV,2014,25.414,Croatia
CHL,2017,6.785,Chile
COL,2017,6.625,Colombia
CRI,2017,8.481,Costa Rica
CIV,2017,2.239,Côte d’Ivoire
EMU,2012,22.04070303145925,Euro area
ECS,2012,18.165390962541583,Europe & Central Asia
ECA,2012,12.760509896304931,Europe & Central Asia (excluding high income)
TEC,2012,14.162111403735992,Europe & Central Asia (IDA & IBRD)
EUU,2012,21.53576317615965,European Union
HIC,2012,16.727076848588606,High income
IBD,2012,6.411552260172169,IBRD only
EMU,2009,17.26607565759115,Euro area
ECS,2009,16.367576425824595,Europe & Central Asia
TEC,2009,16.15476326317331,Europe & Central Asia (IDA & IBRD)
