STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,URY,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,1999,11.618,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Uruguay,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2000,20.056314329372988,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2017,12.483328548269583,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2017,17.746964684080467,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Euro area,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2017,13.69524947325433,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Europe & Central Asia,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2017,3.142,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2018,10.54838483170248,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2018,8.584311142071625,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2018,16.17347158066111,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Euro area,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VEN,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2009,5.959,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Venezuela, RB",Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2009,22.13,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2010,21.564668164132975,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2010,6.567732462086916,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2018,3.993,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2019,3.178531990071717,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Western & Central Africa,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2019,12.502901036545959,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Caribbean small states,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2019,9.935205816400824,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2019,8.768388656388819,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2019,15.063271785641339,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Euro area,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2011,17.486,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,West Bank and Gaza,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2011,5.271,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2012,22.47017938021434,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2012,4.571160143163783,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Early-demographic dividend,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2014,12.753,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.",Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2014,4.384,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2015,16.628869193006746,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Central Europe and the Baltics,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SL_UEM_BASC_ZS,_T,_T,_T,PT_LF_SUB,_Z,_Z,_Z,2015,20.742173598978376,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Euro area,Unemployment with basic education (% of total labor force with basic education),Total,All age ranges or no breakdown by age,Total,Percentage of labor force in the same subgroup,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
